action,step,count,avg,std
CASH_IN,385,4,162200.9278,89009.43741
CASH_IN,386,1,42393.247,26685.00886
CASH_IN,394,181,184011.2833,125984.1875
CASH_IN,396,91,193434.6415,136534.6477
CASH_IN,397,118,216691.6386,147570.3477
CASH_IN,403,224,164965.4736,115358.8819
CASH_IN,404,548,136685.3031,96982.49319
CASH_IN,405,373,139866.7762,98260.44534
CASH_IN,406,204,116199.1266,81928.68268
CASH_IN,407,74,164764.4049,116784.1493
CASH_IN,408,33,110146.2038,73951.42526
CASH_IN,409,2,198798.8039,111353.8301
CASH_IN,416,47,150008.0405,105513.0125
CASH_IN,419,45,193046.3093,134863.9961
CASH_IN,420,82,178127.7204,124759.219
CASH_IN,422,42,227717.2537,148173.0417
CASH_IN,423,28,221256.2563,157542.0741
CASH_IN,426,159,167244.4975,116592.4892
CASH_IN,428,88,104343.4795,69818.33539
CASH_IN,429,60,101208.0957,70173.94897
CASH_IN,431,12,81573.27818,58981.7749
CASH_IN,439,1,129753.2706,91178.39401
CASH_IN,442,36,122355.5779,85201.15133
CASH_IN,445,1,102331.7031,84704.75935
CASH_IN,448,71,107007.9137,72648.59497
CASH_IN,449,37,159415.8835,108486.8027
CASH_IN,451,107,109770.1631,77972.51556
CASH_IN,452,7,85198.64,56672.40544
CASH_IN,453,1,52568.6925,41042.73325
CASH_IN,454,1,112196.9757,41426.93188
CASH_IN,455,7,76051.11453,50846.6969
CASH_IN,458,1,36079.18,19327.46207
CASH_IN,466,35,187665.1889,141580.7753
CASH_IN,469,216,212699.457,145640.3807
CASH_IN,471,94,185299.4905,135079.5991
CASH_IN,472,2,213704.0425,161806.393
CASH_IN,474,87,204154.9015,139715.5828
CASH_IN,476,112,169870.3997,118700.0903
CASH_IN,478,33,138708.617,102835.05
CASH_IN,479,6,66425.91904,41703.24848
CASH_IN,483,1,21072.78333,13245.54957
CASH_IN,487,5,176486.0607,128479.6832
CASH_IN,490,139,199932.9573,141333.4
CASH_IN,492,185,206236.9578,144072.3032
CASH_IN,493,67,209329.8807,143081.351
CASH_IN,495,107,182719.1308,124402.5689
CASH_IN,496,33,218746.7271,156068.5239
CASH_IN,500,199,121308.5499,84239.86522
CASH_IN,502,3,102139.1721,61460.96798
CASH_IN,503,13,127354.3779,90411.55775
CASH_IN,505,4,42806.19294,30732.51823
CASH_IN,509,1,21021.032,14850.16896
CASH_IN,514,283,190190.0755,133337.1838
CASH_IN,517,49,180709.4437,123179.9083
CASH_IN,518,120,204326.1035,146049.1342
CASH_IN,520,98,207297.7944,144361.2175
CASH_IN,522,566,174549.49,121513.3396
CASH_IN,524,84,129034.6616,91671.09187
CASH_IN,525,185,106128.6075,72410.10956
CASH_IN,526,44,104210.6979,72787.77323
CASH_IN,527,22,72680.25702,51949.95459
CASH_IN,528,4,107699.8723,61240.3564
CASH_IN,530,1,89538.96,47022.14092
CASH_IN,532,1,44426.94333,385.323777
CASH_IN,534,1,421799.0792,199994.0693
CASH_IN,538,126,169845.408,119074.4805
CASH_IN,540,185,199714.5724,139238.1617
CASH_IN,542,144,172326.7157,119900.9448
CASH_IN,544,186,189029.7947,133142.7788
CASH_IN,546,166,195058.1428,136340.4404
CASH_IN,548,182,134493.1156,93953.25611
CASH_IN,549,15,98407.0258,68416.10409
CASH_IN,550,89,126924.2974,92511.26751
CASH_IN,551,11,164965.2002,118444.8082
CASH_IN,552,5,251364.5719,169642.0719
CASH_IN,555,1,3594.043333,2858.038671
CASH_IN,563,1,206950.24,163313.6412
CASH_IN,565,135,192287.4045,137446.294
CASH_IN,567,147,207773.4068,151137.2448
CASH_IN,571,139,161379.1289,116641.3688
CASH_IN,573,89,117906.3309,80549.38482
CASH_IN,574,41,179673.1502,128512.3169
CASH_IN,576,4,74499.64957,49491.19663
CASH_IN,577,1,112306.4586,68994.24126
CASH_IN,578,1,47335.005,31724.97975
CASH_IN,580,1,2357.14,0.0
CASH_IN,582,1,276027.0343,170600.9723
CASH_IN,585,22,211838.8124,154420.1856
CASH_IN,590,196,194558.3923,135186.2669
CASH_IN,592,232,171673.6837,117974.132
CASH_IN,594,30,163193.8312,112287.1229
CASH_IN,596,234,123415.15,88089.77916
CASH_IN,597,60,104398.491,71444.376
CASH_IN,598,21,175720.0913,130534.3148
